predictor_instances,abs_potential_threshold_steps,Mean,Median,StdDev,Min,Max,SharpeRatio,trading_quantity_per_leverage_factor,sell_opposite_direction_if_no_cash,sell_all_opposite_products_if_no_cash,include_open_leverage_category,precalculate_predictor_observations,leverage_categories,date
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.01, 0.1)",0.0980552924739316,0.0664015790794533,0.1812111780086146,-0.3659354150410971,1.059766103962842,0.6428537242115223,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.0075, 0.1)",0.0962490742079951,0.0750187765961461,0.1798585367806129,-0.3659354061137947,1.0608712250813823,0.6362822610623557,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.01, 0.15)",0.0882152562614625,0.0588232833011241,0.197124548318469,-0.3537012679469925,1.4716267669464596,0.5379250175919573,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.0075, 0.15)",0.0843538419189203,0.0521417624848398,0.1845936143983927,-0.3537012584491936,1.31880566215856,0.555120783912927,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.01, 0.2)",0.0768562594013471,0.0488133962850046,0.1854720983554495,-0.3387965234261917,1.4193408974741093,0.5080165474028869,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.0075, 0.2)",0.0672342995976702,0.0421466674187131,0.1523874472989491,-0.3387963098691293,0.9021919377684952,0.5640959997890815,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.015, 0.3)",0.049513306747868,0.0303948925025953,0.1418125284264114,-0.3150546376279645,0.9882204746304843,0.4773949433345008,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.0075, 0.3)",0.0443549989701605,0.0291961276257855,0.1195487394472929,-0.3252257117795772,0.562028833720053,0.5304849966051316,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.015, 0.4)",0.0256393451598865,0.0181278938046415,0.104284370023332,-0.2881881135677148,0.4164429046772356,0.4343901413654704,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.025, 0.1)",0.1079159020021071,0.0793904207746581,0.217563152774837,-0.3659354312825399,1.5464949913351398,0.5757833330564637,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.02, 0.1)",0.1052622803882366,0.0783281926615122,0.211031238035235,-0.3659354299499348,1.5489115038798071,0.5851596088599826,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.015, 0.1)",0.0996052708989255,0.0665023851403261,0.1849031506797026,-0.3659354272403493,1.0619687714190342,0.6363465711629229,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.01, 0.1)",0.0980552924739316,0.0664015790794533,0.1812111780086146,-0.3659354150410971,1.059766103962842,0.6428537242115223,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.045, 0.1)",0.1062279559448221,0.0703730733603258,0.2315460557747946,-0.3659354220200949,1.689165341409361,0.5338308766800066,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.03, 0.1)",0.1048971944270455,0.067475720380196,0.2266929390982074,-0.3659354308052868,1.6913606921168072,0.5412684871644929,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.04, 0.1)",0.1039073135736132,0.070311064685813,0.2076656355720579,-0.3659354184038713,1.154567658647602,0.5847277458649532,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
"[LSTM_d3_ValHR0.9109, LSTM_d2_ValHR0.7925, LSTM_c2_ValHR0.7051]","(0.0025, 0.035, 0.1)",0.101716191306304,0.0739532730181605,0.2037927593898552,-0.3659354229280216,1.1375542816273163,0.5810839104013866,1.0,True,True,False,True,"(1.0, 2.0, 3.0, 4.0, 5.0)",2025-08-24
